respid,xi,xi_sp,miss_psurv85,sp_miss_psurv85
87,-9.0,-9.0,1.0,-9.0
94,-0.3926767219106483,-9.0,0.0,-9.0
109,-3.5976189020268,1.2873059102201454,0.0,0.0
127,-9.0,-9.0,1.0,-9.0
159,-9.0,-9.0,1.0,1.0
171,-4.115392828888639,-9.0,0.0,-9.0
222,0.0752875287138965,-9.0,0.0,-9.0
272,-1.18658480424203,-1.4147250971181886,0.0,0.0
346,0.490444371617074,-1.0440292430611433,0.0,0.0
351,-1.0284370296920093,-1.1285180939799184,0.0,0.0
366,-9.0,-9.0,1.0,1.0
395,-1.2661265997176632,-0.5914163296345187,0.0,0.0
406,1.354978431243506,1.5078125133248632,0.0,0.0
415,-2.848073866657925,-2.453713659578431,0.0,0.0
417,-9.0,-9.0,1.0,-9.0
426,-2.9198612945897846,-9.0,0.0,-9.0
441,-1.2114983925917675,-9.0,0.0,-9.0
442,-9.0,-9.0,1.0,-9.0
471,-0.5398836030209538,-9.0,0.0,-9.0
486,-2.64750114726441,-2.169285500694129,0.0,0.0
496,-3.2684475596756015,-1.9349771860320424,0.0,0.0
504,-9.0,-9.0,1.0,1.0
538,-1.0021466645858137,-0.7489826535763867,0.0,0.0
549,-0.29489005124492523,-9.0,0.0,-9.0
561,-2.1088359593278945,-9.0,0.0,-9.0
577,-3.329685689564429,-2.4440098106866355,0.0,0.0
626,-1.5167595092694128,-9.0,0.0,-9.0
634,-0.5451981181521359,-9.0,0.0,-9.0
646,0.6336751127965492,-0.39891436990963536,0.0,0.0
652,-1.0180308329719456,-9.0,0.0,-9.0
674,-2.51458836944645,-9.0,0.0,-9.0
687,-0.8133816138317329,0.3576351526316028,0.0,0.0
697,-9.0,-9.0,1.0,1.0
712,-2.666979787408304,-2.6855594157100966,0.0,0.0
731,-0.2824856741389974,-0.06383579000717894,0.0,0.0
738,-1.6564134651537294,-9.0,0.0,-9.0
751,0.8540550913457925,-9.0,0.0,-9.0
793,-3.3907568999803965,-2.511270844088429,0.0,0.0
795,-3.0641485390983045,-2.1307586801834804,0.0,0.0
817,-2.6034036514260785,-0.4773470125702167,0.0,0.0
833,-1.7160690292280858,-1.1233442148167345,0.0,0.0
864,-0.40726298696911567,0.016847646741071313,0.0,0.0
881,0.4937491810433912,-0.24682121166726867,0.0,0.0
897,-1.6510539509892304,-1.9370358744547724,0.0,0.0
919,-0.5187847443755423,-9.0,0.0,-9.0
940,-1.1138007374738461,-0.8354847545287688,0.0,0.0
941,-2.4846321168028624,-1.9969367535989508,0.0,0.0
944,-1.7292107019280891,-9.0,0.0,-9.0
950,0.06854920129500147,0.03716102091960616,0.0,0.0
974,-1.2919997727458343,0.08365594984010373,0.0,0.0
983,-0.5007386441554877,-1.6096907058716023,0.0,0.0
985,-1.388213535718984,-2.411049644524083,0.0,0.0
990,-9.0,-9.0,1.0,1.0
999,-3.0618475021205636,-9.0,0.0,-9.0
1006,-9.0,-9.0,1.0,-9.0
1011,-1.0610192963605916,-0.5563295077254308,0.0,0.0
1014,-2.3973946524646075,-3.407764815762493,0.0,0.0
1019,1.436498827575741,0.030067329252701797,0.0,0.0
1031,-1.420366743138937,-0.38652486689759785,0.0,0.0
1033,-2.6087714577341883,-2.270221220153596,0.0,0.0
1035,-1.6767933572676612,-2.8443146145033222,0.0,0.0
1041,-1.1671609193535453,-1.2805773182408995,0.0,0.0
1047,-9.0,-9.0,1.0,-9.0
1048,-9.0,-9.0,1.0,1.0
1066,0.42392445235626536,-0.6394873546243851,0.0,0.0
1068,-0.9292134304092324,0.6517278127016366,0.0,0.0
1078,-9.0,-9.0,1.0,1.0
1105,-1.3656919063832147,-1.6616096932586366,0.0,0.0
1111,-9.0,-9.0,1.0,1.0
1112,-1.7738692052588012,-1.4986934378913317,0.0,0.0
1114,-0.426587376792152,-0.3495299055355009,0.0,0.0
1119,-0.5062361222630999,-0.2868096211672497,0.0,0.0
1145,-0.23038376002637362,0.241712867190099,0.0,0.0
1149,0.30162483914258714,0.8745470413988297,0.0,0.0
1169,-3.500069403749483,-3.260059699537102,0.0,0.0
1179,1.7322604471158565,0.4933557676758134,0.0,0.0
1188,0.25761749830782715,0.7211885027540018,0.0,0.0
1200,0.5579694497427345,0.42352795239032776,0.0,0.0
1209,-0.985107510004575,-0.7557662292910708,0.0,0.0
1211,-2.4986916566248234,-9.0,0.0,-9.0
1212,-3.1686436776370908,-9.0,0.0,-9.0
1227,0.4241779383188932,-0.928714311636383,0.0,0.0
1238,-0.9171723127179721,-9.0,0.0,-9.0
1248,-1.8044451189949642,-9.0,0.0,-9.0
1257,1.1436870358369864,2.676716183979907,0.0,0.0
1265,0.24216588822289137,0.6184195250551546,0.0,0.0
1268,-0.8808414344648527,-1.8144038063609191,0.0,0.0
1281,-3.3442837598257373,-0.6358803471290773,0.0,0.0
1290,-0.03254130071682782,1.3365989167801529,0.0,0.0
1303,1.2298549248084611,-2.28899262656582,0.0,0.0
1316,-9.0,-9.0,1.0,1.0
1320,-0.34133488770144665,-0.28974973818419114,0.0,0.0
1323,0.34057689246485984,1.732993801842053,0.0,0.0
1324,-2.8115553109766886,-2.0342358320154403,0.0,0.0
1332,-2.3626626720502486,-9.0,0.0,-9.0
1355,-1.7201181822910192,-9.0,0.0,-9.0
1364,0.06230135773569398,-9.0,0.0,-9.0
1370,-1.416487206182102,-9.0,0.0,-9.0
1374,-2.90820353200302,-2.361244358540314,0.0,0.0
1389,-1.4081905460338322,-9.0,0.0,-9.0
1404,-1.20887630609434,-9.0,0.0,-9.0
1412,-2.3617371036333585,-2.1730655164271595,0.0,0.0
1421,-0.808702864793173,-2.091611214422841,0.0,0.0
1423,-3.0770857022743052,-2.7598383192187903,0.0,0.0
1439,1.2055621146457003,-9.0,0.0,-9.0
