,respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,d_value_1,d_value_2,d_value_3,d_value_4,d_value_5,d_value_6,d_value_7,d_value_8,d_value_9,d_value_10,d_value_11,d_value_12,sigma_ann,sigma_ltc,sigma_rmr,ann,ltc,rmr,delta_ann,delta_ltc,delta_rmr
0,87,1278.4983244321725,6,0,1,553.863,0.0,450.0,62,56.14318556451503,10.0,1,,,,,0,0,0,0,1,0,0,0.0651966938932999,-2.6589547711849217,-0.0441738720202438,-0.0511722985136136,0.0998965182037212,-4.382295907659727,-1.8093947855390848,-0.0033415162390352,0.2155536533471047,-5.903692192380625,-3.680936129838555,-2.335664360467703,,,,,,,,,,,,,,,1,,0.6218589310103857,1.5,110.773,276.932,110.773,276.932,0.852,4.248,1.272,5.1000000000000005,0.02,0.04,0.08,0.06,7.776,7.776,4.668,23.34,24.0,48.0,24.0,48.0,67.5,135.0,67.5,135.0,0.01,0.01,0.01,0.5,0.5,0.25,0.2,0.2,0.01,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,68.97567422188213,70.2068462568152,61.78736628986882,67.5417835965675,77.72396275117174,68.77431658173265,67.06915674427006,68.43925589173737,66.41907946231592,69.94347517261767,69.34329793795686,67.45572820163227,67.39148658629873,1.231172034933067,-7.188307932013309,-1.433890625314632,8.74828852928961,-0.20135764014948165,-1.90651747761207,-0.5364183301447554,-2.5565947595662095,0.967800950735537,0.367623716074732,-1.5199460202498614,-1.5841876355834046,0.026784936767400208,0.2231921017338013,0.043482894813765896,,,,3.4554284318588095,0.6776009602498894,4.575892703403127
1,94,897.8346892314378,6,0,1,210.0,0.0,320.0,70,58.4017377968338,58.4017377968338,1,,,,,0,1,0,1,0,0,0,0.0847688584572354,-4.43586214340842,-1.6909508849188988,-2.0439326520194943,0.1087664106828822,-5.357868843509506,-2.68152261743595,-1.1289218161544892,0.2673943496190545,-8.021394223472381,-5.844942870341444,-4.645266570138979,,,,,,,,,,,,,-0.3926767219106483,,0,,-3.0,1.5,42.0,105.0,42.0,105.0,1.464,5.856,2.436,1.956,0.02,0.04,0.08,0.06,2.364,9.864,4.74,3.948,24.0,48.0,24.0,48.0,64.0,128.0,64.0,128.0,0.01,0.5,0.6,0.01,0.6,0.3,0.6,0.8,0.25,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,113.38166733590728,114.01087384168989,121.55052640005736,117.7568907820626,111.87222694282904,112.0897053853937,104.98950414846612,110.40148765014368,111.57196140540168,109.6025509292234,112.53567877183248,109.32516985398468,112.50753983581866,0.6292065057826051,8.168859064150084,4.375223446155317,-1.5094403930782363,-1.2919619505135813,-8.392163187441156,-2.980179685763602,-1.8097059305056007,-3.779116406683883,-0.8459885640748013,-4.056497481922605,-0.8741275000886191,0.026784936767400208,0.2231921017338013,0.043482894813765896,,,,2.2742975099982146,-1.1451028994254748,3.617115259666708
2,109,880.8996211331786,8,1,1,500.0,230.0,425.0,66,59.79277453683102,59.79277453683102,1,70.0,129.61579259628795,129.61579259628795,3.0,0,0,0,0,0,1,1,0.090273743273897,-2.717215304606854,-0.080661631971808,-0.3370507900629282,0.1450368963784873,-4.138695716476418,-1.6334672790158131,0.3618022595213394,0.316232734693074,-7.968403999091302,-5.504610667498668,-3.461631776005219,0.1064859024869152,-4.205441131440699,-1.6615253005416997,-2.562572296285266,0.1905109355312935,-6.02167438090828,-3.584929299164956,-2.8296312333466416,0.2771140237682483,-7.812398132104584,-5.530200525371945,-4.920566388716237,-3.5976189020268,1.2873059102201454,0,0.0,-3.0,1.5,100.0,250.0,100.0,250.0,3.336,5.5680000000000005,1.116,3.336,0.02,0.04,0.06,0.08,3.108,19.452,9.336,11.664,24.0,48.0,24.0,48.0,39.0,78.0,39.0,78.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,157.19554017979388,156.27395123849445,174.5669545893006,164.98761945047303,159.0761076403623,153.41249639485588,150.46305279725573,157.80692448908275,154.59213075761042,157.19554017979388,157.19554017979388,157.19554017979388,157.19554017979388,-0.9215889412994329,17.371414409506713,7.792079270679153,1.8805674605684146,-3.783043784938002,-6.732487382538153,0.6113843092888658,-2.6034094221834607,0.0,0.0,0.0,0.0,0.026784936767400208,0.2231921017338013,0.043482894813765896,,,,4.770042041652232,3.8972229066921513,4.59511985013459
3,127,1278.4983244321725,7,0,1,0.0,0.0,1500.0,65,53.01109411364173,53.01109411364173,1,,,,,0,1,1,1,0,1,1,0.076797360791906,-3.428571993172199,-0.786663946084358,-1.0498171050641387,0.1123587737960726,-5.1333526438969805,-2.655351064559829,-0.991390481056172,0.2357143231108265,-6.923100380479457,-4.75254746018462,-3.440514460089975,,,,,,,,,,,,,,,1,,-1.9780075482694293,0.5607410535334644,24.0,60.0,24.0,60.0,2.7840000000000003,2.22,1.668,6.672,0.08,0.02,0.06,0.04,0.732,2.724,1.812,5.448,24.0,48.0,24.0,48.0,300.0,600.0,300.0,600.0,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,127.6701153408618,128.0075958597992,130.4605087303596,130.31127065843015,135.58362077076472,122.37910759543404,124.05618012269603,124.90399307106806,119.8615284289188,127.6701153408618,127.6701153408618,127.6701153408618,127.6701153408618,0.3374805189374115,2.790393389497808,2.641155317568348,7.913505429902926,-5.291007745427763,-3.6139352181657642,-2.7661222697937404,-7.808586911942996,0.0,0.0,0.0,0.0,0.026784936767400208,0.2231921017338013,0.043482894813765896,,,,4.686741306528644,2.9087199060950946,4.59511985013459
4,159,4230.715283026676,1,1,1,65.0,0.0,1000.0,62,48.68705267489093,42.220122303215135,1,65.0,0.0,0.0,1.0,1,1,1,1,0,0,0,0.070680658189116,-2.1498527089646817,0.4168172239491286,0.4029063471936322,0.1175104734469071,-3.5768320579545594,-1.0450961609131415,0.9099347933563032,0.2664044850817423,-6.689218475339585,-4.3308640303157055,-2.4824944827265845,0.0741434193014573,-3.9026527016202737,-1.1954795503342774,-1.3888508472292282,0.0935305281613599,-4.682247707176992,-2.08698909261752,-0.40030608987623,0.1610571425696267,-6.043112866479007,-3.948782844871948,-2.554064379152521,,,1,1.0,-0.052356990966113,1.5,13.0,32.5,13.0,32.5,1.272,4.248,2.556,1.704,0.06,0.04,0.02,0.08,0.912,1.368,1.092,0.912,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.6,0.25,0.25,0.6,0.5,0.6,0.75,0.15,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.466004859668949,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,65.9436576070379,65.86246581784057,65.4409102375891,65.92329974739052,65.29251292853954,66.13855438322808,65.64403593034741,65.70607100682324,66.53316428782823,68.22927403433295,70.44862208195852,69.26447036840882,69.34809067865861,-0.08119178919733372,-0.5027473694488123,-0.02035785964739034,-0.651144678498369,0.19489677619017698,-0.2996216766904922,-0.23758660021466937,0.589506680790322,2.2856164272950394,4.504964474920612,3.3208127613709166,3.4044330716207014,0.026784936767400208,0.2231921017338013,0.043482894813765896,,,,4.586713118518658,0.3603665932248428,0.20455773271498376
5,171,4942.474513256949,7,0,1,57.7,0.0,700.0,69,46.96239861689803,46.96239861689803,1,,,,,0,0,0,0,0,0,0,0.1059728384619138,-3.7808460424106674,-1.1228406782062426,-1.3031508269723888,0.1283680120275809,-4.410398516631456,-1.7231056319572176,-0.374057357497067,0.2771803373038319,-6.541456162470688,-4.140850825671423,-2.9533183299928774,,,,,,,,,,,,,-4.115392828888639,,0,,-0.9050083058072266,1.5,19.54,48.85,19.54,48.85,1.464,5.856,0.972,4.884,0.04,0.02,0.08,0.06,1.092,1.812,2.184,4.548,24.0,48.0,24.0,48.0,140.0,280.0,140.0,280.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,94.09592563233672,94.14598943303956,93.45597107814704,95.54602724758487,97.29618170166476,93.55919554465368,90.2388696159051,94.29045169792568,91.17481302838578,94.6006851486899,96.800032958779,93.2044818588372,95.68517555733142,0.05006380070284422,-0.6399545541896714,1.4501016152481583,3.2002560693280486,-0.5367300876830399,-3.8570560164316134,0.1945260655889598,-2.921112603950931,0.5047595163531895,2.7041073264422835,-0.8914437734995175,1.5892499249947036,0.026784936767400208,0.2231921017338013,0.043482894813765896,,,,4.622309687633427,4.197817116334035,4.63758821285522
6,222,2740.425636006952,10,0,1,275.0,0.0,285.0,68,26.944901400077946,26.944901400077946,1,,,,,1,0,0,1,0,0,0,0.0800180413965128,-2.3133583503757054,0.3121121779157831,0.0903846822752012,0.1392401119679152,-4.158679274481649,-1.684620099987877,0.197436149127431,0.3087012844726667,-7.464710140106578,-5.051983909025385,-3.385502293685404,,,,,,,,,,,,,0.0752875287138965,,0,,0.3619998729473916,0.1112248403294,63.0,157.5,63.0,157.5,3.336,5.5680000000000005,1.116,3.336,0.04,0.02,0.08,0.06,5.196,5.196,6.24,7.8,24.0,48.0,24.0,48.0,57.0,114.0,57.0,114.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,41.39015444015444,82.78030888030888,2.3336076037480025,5.1821760625230135,9.658244768779062,0.0189251467931155,0.025284283298686,311.31759594053744,88.28884743230704,87.91923817987677,79.06419433124177,88.85114219783154,81.81231109323838,85.9914570311376,84.51459750782743,88.24482824938305,86.67074601723382,88.58385559936501,90.21463207069806,86.68903709351643,85.30788136290933,-0.36960925243026566,-9.224653101065272,0.5622947655244985,-6.476536339068659,-2.2973904011694373,-3.774249924479605,-0.04401918292398932,-1.6181014150732125,0.29500816705797206,1.925784638391022,-1.5998103387906042,-2.9809660693977094,0.026784936767400208,0.2231921017338013,0.043482894813765896,,,,4.491271275873906,4.163591261420752,4.569465120444558
7,272,1278.4983244321725,6,1,1,408.7737381863242,0.0,750.0,65,61.21302243939238,61.21302243939238,1,67.0,37.73405492839256,37.73405492839256,1.0,0,1,1,0,0,0,0,0.0782740354493999,-3.665950497814424,-0.9682528863293848,-1.0637559592738213,0.1071291258062423,-5.257648096951324,-2.640908373830172,-0.7727954947654838,0.2537259574573561,-7.886904043314789,-5.6438931533350685,-4.237591023151817,0.0771519235488062,-4.307992826897506,-1.5249893025342751,-1.6925750145471694,0.0936181487167384,-5.029385894198235,-2.360308149868417,-0.5711669026366446,0.1581836974488578,-6.163473262735447,-4.056816097634649,-2.581277128723108,-1.18658480424203,-1.4147250971181886,0,0.0,0.1431708705381105,1.317386069860402,105.0,262.5,105.0,262.5,1.116,6.672,2.7840000000000003,3.336,0.04,0.08,0.02,0.06,4.764,19.86,3.18,23.832,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.5,0.25,0.25,0.65,0.01,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,119.25792882903576,119.57055227912254,127.69652172635708,118.08989469257496,131.59547432139945,118.47690626006036,112.92412697506012,116.769098744723,116.50609805935676,119.7454291815557,116.86816506936952,122.74632747799711,117.04819437091447,0.3126234500867753,8.438592897321314,-1.168034136460804,12.337545492363688,-0.781022568975402,-6.333801853975643,-2.4888300843127666,-2.751830769679003,0.4875003525199446,-2.3897637596662378,3.4883986489613505,-2.2097344581212894,0.026784936767400208,0.2231921017338013,0.043482894813765896,,,,4.728513708108036,-0.29486533949297733,4.588340875352442
8,346,580.936724934376,8,1,1,180.0,65.0,360.0,62,5.699991854154515,5.699991854154515,1,63.0,0.4999992854521505,0.4999992854521505,1.0,0,0,1,0,0,0,0,0.0782134800034487,-3.974262479751308,-1.3121878878969095,-1.630482051199008,0.1082961585868745,-4.995372479924849,-2.4266215349294384,-1.0147798263758774,0.194677747049731,-6.05764881674246,-4.039220498251627,-2.9056318796011453,0.0808925555547528,-2.3004683734991445,0.3632388940022681,0.3154298629762327,0.1264026814411649,-3.888936305325609,-1.261498267648446,0.6789471854389468,0.2668854793537745,-7.450618980646419,-5.035069301491503,-3.293736639456812,0.490444371617074,-1.0440292430611433,0,0.0,0.5745397373832422,0.5391564617302692,36.0,90.0,36.0,90.0,2.208,3.684,1.104,1.476,0.08,0.04,0.06,0.02,3.276,2.724,1.632,6.816,24.0,48.0,24.0,48.0,44.25,88.5,44.25,88.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,39.53034469660764,39.16923615995109,37.97175841949135,38.977865539354895,38.37890008036809,39.2619457951002,39.09986851082755,39.4069898561272,39.38233330720789,39.53034469660764,40.82530029040208,39.53034469660764,40.862781897761565,-0.36110853665655185,-1.5585862771162908,-0.5524791572527477,-1.1514446162395515,-0.26839890150743884,-0.43047618578009406,-0.1233548404804452,-0.14801138939975544,0.0,1.294955593794441,0.0,1.3324372011539225,0.026784936767400208,0.2231921017338013,0.043482894813765896,,,,4.570855251452322,4.54098230044268,4.623681511268886
9,351,4230.715283026676,1,1,1,460.0,0.0,1500.0,63,51.04627042361914,10.721994469291593,1,68.0,52.74781277107312,55.396971424673225,1.0,0,0,0,0,0,0,1,0.0833670616131995,-3.446182448144068,-0.7737836694661873,-0.9362624069248908,0.1071080996058179,-4.929286911422589,-2.27215104523427,-0.6516972451415515,0.2639523960851203,-7.955969856859698,-5.575005807228054,-4.375019870276263,0.0933843571471104,-3.897980709886975,-1.2385651630397778,-1.4869307467977475,0.1154396903089579,-4.564513855614632,-1.921638044033992,-0.4041892320327377,0.2017877731901816,-6.574071294389382,-4.264819036523851,-2.952000310593184,-1.0284370296920091,-1.1285180939799184,0,0.0,-0.1915112025019111,1.5,112.0,280.0,112.0,280.0,2.124,1.704,1.272,5.1000000000000005,0.04,0.06,0.02,0.08,3.228,12.096,9.684,20.16,24.0,48.0,24.0,48.0,225.0,450.0,225.0,450.0,0.01,0.5,0.65,0.8,0.5,0.5,0.65,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.466004859668949,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,90.5072656215535,89.05744934176813,91.09294162785017,94.89065133505432,99.8430571099317,89.26357836220352,90.07713741645068,89.82699688927245,87.11681509206288,91.41605978457874,88.6295823494721,93.600875652912,88.76249404583528,-1.4498162797853666,0.5856760062966657,4.3833857135008145,9.335791488378206,-1.2436872593499828,-0.43012820510281813,-0.6802687322810499,-3.3904505294906215,0.9087941630252345,-1.8776832720813985,3.0936100313584944,-1.744771575718218,0.026784936767400208,0.2231921017338013,0.043482894813765896,,,,0.7335269079695012,0.6734864656748798,4.599250174502608
