,respid,wgt,cma,married,own,wealth_total,mort_balance,home_value,age,totinc,retinc,hlth,sp_age,sp_totinc,sp_retinc,sp_hlth,pref_beq_money,pref_home,pref_live_fast,pref_risk_averse,know_ann,know_ltci,know_rmr,"gamma(2,1)","delta(1,2)","delta(2,2)","delta(3,2)","gamma(3,1)","delta(1,3)","delta(2,3)","delta(3,3)","gamma(4,1)","delta(1,4)","delta(2,4)","delta(3,4)","sp_gamma(2,1)","sp_delta(1,2)","sp_delta(2,2)","sp_delta(3,2)","sp_gamma(3,1)","sp_delta(1,3)","sp_delta(2,3)","sp_delta(3,3)","sp_gamma(4,1)","sp_delta(1,4)","sp_delta(2,4)","sp_delta(3,4)",xi,xi_sp,miss_psurv85,sp_miss_psurv85,mu,zeta,prem_scn_ann_1,prem_scn_ann_2,prem_scn_ann_3,prem_scn_ann_4,prem_scn_ltci_1,prem_scn_ltci_2,prem_scn_ltci_3,prem_scn_ltci_4,int_scn_rmr_1,int_scn_rmr_2,int_scn_rmr_3,int_scn_rmr_4,ben_scn_ann_1,ben_scn_ann_2,ben_scn_ann_3,ben_scn_ann_4,ben_scn_ltci_1,ben_scn_ltci_2,ben_scn_ltci_3,ben_scn_ltci_4,loan_scn_rmr_1,loan_scn_rmr_2,loan_scn_rmr_3,loan_scn_rmr_4,prob_scn_ann_1,prob_scn_ann_2,prob_scn_ann_3,prob_scn_ann_4,prob_scn_ltci_1,prob_scn_ltci_2,prob_scn_ltci_3,prob_scn_ltci_4,prob_scn_rmr_1,prob_scn_rmr_2,prob_scn_rmr_3,prob_scn_rmr_4,nh_0,nh_1,nh_2,hc_0,hc_1,hc_2,g,sig,base_value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,d_value_1,d_value_2,d_value_3,d_value_4,d_value_5,d_value_6,d_value_7,d_value_8,d_value_9,d_value_10,d_value_11,d_value_12,sigma_ann,sigma_ltc,sigma_rmr,ann,ltc,rmr,delta_ann,delta_ltc,delta_rmr
0,87,1278.4983244321725,6,0,1,553.863,0.0,450.0,62,56.14318556451503,10.0,1,,,,,0,0,0,0,1,0,0,0.0651966938932999,-2.6589547711849217,-0.0441738720202438,-0.0511722985136136,0.0998965182037212,-4.382295907659727,-1.8093947855390848,-0.0033415162390352,0.2155536533471047,-5.903692192380625,-3.680936129838555,-2.335664360467703,,,,,,,,,,,,,,,1,,0.6218589280351817,1.5,110.773,276.932,110.773,276.932,0.852,4.248,1.272,5.1000000000000005,0.02,0.04,0.08,0.06,7.776,7.776,4.668,23.34,24.0,48.0,24.0,48.0,67.5,135.0,67.5,135.0,0.01,0.01,0.01,0.5,0.5,0.25,0.2,0.2,0.01,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,63.22768058024774,61.8727032645779,53.44326625578024,60.27291904697481,68.5462544729582,63.99582147744053,63.692126358892615,63.81778865545508,61.51659601072127,61.80640886054628,60.750022036930986,57.35557434693818,57.32839135610713,-1.3549773156698421,-9.784414324467505,-2.9547615332729293,5.318573892710454,0.7681408971927866,0.4644457786448726,0.5901080752073398,-1.71108456952647,-1.4212717197014655,-2.477658543316757,-5.872106233309566,-5.89928922414061,0.015731091094387563,0.2030916239615539,0.0264866420702211,,,,3.411827528333265,0.9734670259807832,4.491356273014134
1,94,897.8346892314378,6,0,1,210.0,0.0,320.0,70,58.4017377968338,58.4017377968338,1,,,,,0,1,0,1,0,0,0,0.0847688584572354,-4.43586214340842,-1.6909508849188988,-2.0439326520194943,0.1087664106828822,-5.357868843509506,-2.68152261743595,-1.1289218161544892,0.2673943496190545,-8.021394223472381,-5.844942870341444,-4.645266570138979,,,,,,,,,,,,,-0.3926767219106483,,0,,-1.0,1.5,42.0,105.0,42.0,105.0,1.464,5.856,2.436,1.956,0.02,0.04,0.08,0.06,2.364,9.864,4.74,3.948,24.0,48.0,24.0,48.0,64.0,128.0,64.0,128.0,0.01,0.5,0.6,0.01,0.6,0.3,0.6,0.8,0.25,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,64.41174674278597,63.85267939879517,65.39368651874882,65.28643986691314,61.82424421030513,64.14726418986868,61.54751513359268,63.52118856702644,64.09379392031694,65.20635497777847,64.52743472781627,62.48657576189248,63.98871825686656,-0.5590673439907974,0.9819397759628572,0.8746931241271767,-2.5875025324808334,-0.2644825529172863,-2.8642316091932827,-0.8905581757595229,-0.31795282246902445,0.7946082349925092,0.11568798503030564,-1.9251709808934834,-0.4230284859194029,0.018053798897356574,0.2030916239615539,0.0264866420702211,,,,2.190371582349789,-0.5576952045622994,3.7114716526106353
2,109,880.8996211331786,8,1,1,500.0,230.0,425.0,66,59.79277453683102,59.79277453683102,1,70.0,129.61579259628795,129.61579259628795,3.0,0,0,0,0,0,1,1,0.090273743273897,-2.717215304606854,-0.080661631971808,-0.3370507900629282,0.1450368963784873,-4.138695716476418,-1.6334672790158131,0.3618022595213394,0.316232734693074,-7.968403999091302,-5.504610667498668,-3.461631776005219,0.1064859024869152,-4.205441131440699,-1.6615253005416997,-2.562572296285266,0.1905109355312935,-6.02167438090828,-3.584929299164956,-2.8296312333466416,0.2771140237682483,-7.812398132104584,-5.530200525371945,-4.920566388716237,-3.5976189020268,1.2873059102201454,0,0.0,-1.0,1.5,100.0,250.0,100.0,250.0,3.336,5.5680000000000005,1.116,3.336,0.02,0.04,0.06,0.08,3.108,19.452,9.336,11.664,24.0,48.0,24.0,48.0,39.0,78.0,39.0,78.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,104.37535937017373,102.2174303111241,105.48731421816788,105.65592572396272,101.00635337532984,105.60618160155605,106.62539229280182,106.7195615250767,107.75558433333109,103.69160118998622,102.89182858084854,102.33684985484584,102.0431456785591,-2.1579290590496214,1.1119548479941557,1.2805663537889984,-3.3690059948438886,1.2308222313823194,2.250032922628094,2.3442021549029732,3.38022496315736,-0.6837581801875103,-1.4835307893251866,-2.0385095153278883,-2.3322136916146263,0.018053798897356574,0.20912139001765945,0.04008231977347704,,,,4.580972830797817,5.076375206194678,4.5296051764496985
3,127,1278.4983244321725,7,0,1,0.0,0.0,1500.0,65,53.01109411364173,53.01109411364173,1,,,,,0,1,1,1,0,1,1,0.076797360791906,-3.428571993172199,-0.786663946084358,-1.0498171050641387,0.1123587737960726,-5.1333526438969805,-2.655351064559829,-0.991390481056172,0.2357143231108265,-6.923100380479457,-4.75254746018462,-3.440514460089975,,,,,,,,,,,,,,,1,,-1.0,0.5607410302174016,24.0,60.0,24.0,60.0,2.7840000000000003,2.22,1.668,6.672,0.08,0.02,0.06,0.04,0.732,2.724,1.812,5.448,24.0,48.0,24.0,48.0,300.0,600.0,300.0,600.0,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,99.5379374614845,98.34393111247904,98.24079203228168,99.38666807661907,100.83138120797932,97.2291258671272,98.47396841783672,98.51699067893172,93.68175478535495,94.87890251789358,112.72503278608328,95.84093056810872,111.84358492736165,-1.1940063490054627,-1.2971454292028284,-0.1512693848654294,1.293443746494816,-2.3088115943573086,-1.0639690436477878,-1.0209467825527838,-5.856182676129549,-4.659034943590925,13.187095324598772,-3.697006893375786,12.305647465877144,0.018053798897356574,0.20912139001765945,0.04008231977347704,,,,4.589031308385592,3.459777170191168,4.766839532004841
4,159,4230.715283026676,1,1,1,65.0,0.0,1000.0,62,48.68705267489093,42.220122303215135,1,65.0,0.0,0.0,1.0,1,1,1,1,0,0,0,0.070680658189116,-2.1498527089646817,0.4168172239491286,0.4029063471936322,0.1175104734469071,-3.5768320579545594,-1.0450961609131415,0.9099347933563032,0.2664044850817423,-6.689218475339585,-4.3308640303157055,-2.4824944827265845,0.0741434193014573,-3.9026527016202737,-1.1954795503342774,-1.3888508472292282,0.0935305281613599,-4.682247707176992,-2.08698909261752,-0.40030608987623,0.1610571425696267,-6.043112866479007,-3.948782844871948,-2.554064379152521,,,1,1.0,-0.0523569845897126,1.5,13.0,32.5,13.0,32.5,1.272,4.248,2.556,1.704,0.06,0.04,0.02,0.08,0.912,1.368,1.092,0.912,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.6,0.25,0.25,0.6,0.5,0.6,0.75,0.15,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.466004859668949,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,101.12812180180548,100.53963113713156,99.15912193400378,100.67483274903168,98.72017082440615,103.09672818128242,102.8699213842572,101.75254893272806,106.0239138756806,87.31649510879419,92.16864867124082,93.40333218665042,86.45333424009984,-0.5884906646739125,-1.968999867801699,-0.4532890527737976,-2.4079509773993237,1.9686063794769382,1.7417995824517192,0.6244271309225837,4.895792073875128,-13.811626693011291,-8.95947313056466,-7.724789615155061,-14.674787561705642,0.018053798897356574,0.2030916239615539,0.0264866420702211,,,,4.570662682170335,0.8152392541026847,-0.2414739737920754
5,171,4942.474513256949,7,0,1,57.7,0.0,700.0,69,46.96239861689803,46.96239861689803,1,,,,,0,0,0,0,0,0,0,0.1059728384619138,-3.7808460424106674,-1.1228406782062426,-1.3031508269723888,0.1283680120275809,-4.410398516631456,-1.7231056319572176,-0.374057357497067,0.2771803373038319,-6.541456162470688,-4.140850825671423,-2.9533183299928774,,,,,,,,,,,,,-4.115392828888639,,0,,-0.9050082593205588,1.5,19.54,48.85,19.54,48.85,1.464,5.856,0.972,4.884,0.04,0.02,0.08,0.06,1.092,1.812,2.184,4.548,24.0,48.0,24.0,48.0,140.0,280.0,140.0,280.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,22.588588178913746,45.17717635782749,2.5323437587719293,4.062366946087904,5.303487504109683,0.0429280377108032,0.0337495491155457,400.1858597446627,60.0928864403556,59.72457613001712,58.8882031314759,60.51941377223922,60.88612217212954,61.83293364978008,61.42354541873532,62.1525730482658,61.9264818939974,54.91039548037836,59.27838499832917,53.3768191373275,58.360465736309706,-0.3683103103384795,-1.2046833088797015,0.42652733188361935,0.7932357317739402,1.7400472094244819,1.3306589783797236,2.0596866079102014,1.8335954536417987,-5.182490959977237,-0.814501442026426,-6.7160673030280975,-1.732420704045893,0.018053798897356574,0.2030916239615539,0.0264866420702211,,,,4.593525561780966,4.948701770837323,4.499466782852682
6,222,2740.425636006952,10,0,1,275.0,0.0,285.0,68,26.944901400077946,26.944901400077946,1,,,,,1,0,0,1,0,0,0,0.0800180413965128,-2.3133583503757054,0.3121121779157831,0.0903846822752012,0.1392401119679152,-4.158679274481649,-1.684620099987877,0.197436149127431,0.3087012844726667,-7.464710140106578,-5.051983909025385,-3.385502293685404,,,,,,,,,,,,,0.0752875287138965,,0,,0.3619998505759493,0.1112248550004543,63.0,157.5,63.0,157.5,3.336,5.5680000000000005,1.116,3.336,0.04,0.02,0.08,0.06,5.196,5.196,6.24,7.8,24.0,48.0,24.0,48.0,57.0,114.0,57.0,114.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,41.39015444015444,82.78030888030888,2.3336076037480025,5.1821760625230135,9.658244768779062,0.0189251467931155,0.025284283298686,311.31759594053744,27.743578082957928,26.750954177087756,23.33769261630202,27.07594456339437,24.166462228858084,28.009007741356967,28.523321188509552,28.399084580314096,28.89467415735999,27.65456425139797,28.71790228380368,26.79253285541608,26.710450440656253,-0.9926239058701718,-4.405885466655906,-0.6676335195635588,-3.5771158540998442,0.2654296583990394,0.7797431055516242,0.6555064973561677,1.1510960744020622,-0.08901383155995646,0.9743242008457536,-0.9510452275418473,-1.0331276423016753,0.018053798897356574,0.2030916239615539,0.0264866420702211,,,,4.55159548660487,4.739912771160246,4.587843555700425
7,272,1278.4983244321725,6,1,1,408.7737381863242,0.0,750.0,65,61.21302243939238,61.21302243939238,1,67.0,37.73405492839256,37.73405492839256,1.0,0,1,1,0,0,0,0,0.0782740354493999,-3.665950497814424,-0.9682528863293848,-1.0637559592738213,0.1071291258062423,-5.257648096951324,-2.640908373830172,-0.7727954947654838,0.2537259574573561,-7.886904043314789,-5.6438931533350685,-4.237591023151817,0.0771519235488062,-4.307992826897506,-1.5249893025342751,-1.6925750145471694,0.0936181487167384,-5.029385894198235,-2.360308149868417,-0.5711669026366446,0.1581836974488578,-6.163473262735447,-4.056816097634649,-2.581277128723108,-1.18658480424203,-1.4147250971181886,0,0.0,0.1431708707147384,1.3173860661475267,105.0,262.5,105.0,262.5,1.116,6.672,2.7840000000000003,3.336,0.04,0.08,0.02,0.06,4.764,19.86,3.18,23.832,24.0,48.0,24.0,48.0,150.0,300.0,150.0,300.0,0.01,0.01,0.01,0.01,0.5,0.25,0.25,0.65,0.01,0.01,0.01,0.01,0.0,24.936924647364517,49.87384929472903,2.536366587941094,5.239878687317201,8.900934583201554,0.026107100346319,0.0254617632609707,506.9088536304884,234.2122677720684,232.30260809030895,238.87108769712484,230.30296483816207,243.81902499563668,234.2497097758591,228.45651714397343,232.1205312126646,232.72270011512677,226.42478682819396,229.3473959187853,229.8214502222499,229.45429622172315,-1.9096596817594502,4.658819925056434,-3.909302933906332,9.60675722356828,0.037442003790687295,-5.755750628094972,-2.091736559403813,-1.489567656941631,-7.787480943874442,-4.864871853283091,-4.390817549818507,-4.757971550345246,0.018053798897356574,0.2030916239615539,0.0264866420702211,,,,4.633243220169972,-0.07762202627281922,4.4507600895954775
8,346,580.936724934376,8,1,1,180.0,65.0,360.0,62,5.699991854154515,5.699991854154515,1,63.0,0.4999992854521505,0.4999992854521505,1.0,0,0,1,0,0,0,0,0.0782134800034487,-3.974262479751308,-1.3121878878969095,-1.630482051199008,0.1082961585868745,-4.995372479924849,-2.4266215349294384,-1.0147798263758774,0.194677747049731,-6.05764881674246,-4.039220498251627,-2.9056318796011453,0.0808925555547528,-2.3004683734991445,0.3632388940022681,0.3154298629762327,0.1264026814411649,-3.888936305325609,-1.261498267648446,0.6789471854389468,0.2668854793537745,-7.450618980646419,-5.035069301491503,-3.293736639456812,0.490444371617074,-1.0440292430611433,0,0.0,0.5745397373879373,0.5391564617020568,36.0,90.0,36.0,90.0,2.208,3.684,1.104,1.476,0.08,0.04,0.06,0.02,3.276,2.724,1.632,6.816,24.0,48.0,24.0,48.0,44.25,88.5,44.25,88.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,32.09742370955316,64.19484741910632,2.1998430747922435,3.4203056840352795,5.829138756586768,0.0281543378617289,0.0424875023147554,664.7986287229243,36.35610547534116,37.39326440517769,34.32005474901851,36.79761280088289,35.43751088795472,35.77295239300381,35.42690293100579,36.080279965211865,36.14339691087704,35.80354491324664,37.02640294678877,36.019198459925754,37.39740141417936,1.0371589298365294,-2.0360507263226495,0.44150732554172833,-0.918594587386437,-0.583153082337347,-0.929202544335368,-0.27582551012929457,-0.21270856446412267,-0.55256056209452,0.6702974714476113,-0.3369070154154059,1.0412959388382035,0.018053798897356574,0.2030916239615539,0.0264866420702211,,,,4.588458092860636,4.493528865435068,4.6005636883019445
9,351,4230.715283026676,1,1,1,460.0,0.0,1500.0,63,51.04627042361914,10.721994469291593,1,68.0,52.74781277107312,55.396971424673225,1.0,0,0,0,0,0,0,1,0.0833670616131995,-3.446182448144068,-0.7737836694661873,-0.9362624069248908,0.1071080996058179,-4.929286911422589,-2.27215104523427,-0.6516972451415515,0.2639523960851203,-7.955969856859698,-5.575005807228054,-4.375019870276263,0.0933843571471104,-3.897980709886975,-1.2385651630397778,-1.4869307467977475,0.1154396903089579,-4.564513855614632,-1.921638044033992,-0.4041892320327377,0.2017877731901816,-6.574071294389382,-4.264819036523851,-2.952000310593184,-1.0284370296920091,-1.1285180939799184,0,0.0,-0.1915112181381724,1.5,112.0,280.0,112.0,280.0,2.124,1.704,1.272,5.1000000000000005,0.04,0.06,0.02,0.08,3.228,12.096,9.684,20.16,24.0,48.0,24.0,48.0,225.0,450.0,225.0,450.0,0.01,0.5,0.65,0.8,0.5,0.5,0.65,0.01,0.01,0.01,0.01,0.01,0.0,32.1619819391635,64.323963878327,2.235097731158449,3.466004859668949,5.9043272610017095,0.0438750794702872,0.036731444540163,946.2708670639884,214.23811680705128,209.9297545694042,207.70879512334253,217.47290480928265,217.93951620949,213.207573634388,215.0497669256707,214.2827099815333,210.82497563209932,180.08736505584864,176.95175653154104,187.8834685365992,176.40132926529463,-4.3083622376470885,-6.529321683708758,3.234788002231369,3.7013994024387102,-1.030543172663272,0.8116501186194114,0.04459317448200295,-3.41314117495196,-34.15075175120265,-37.28636027551025,-26.35464827045209,-37.83678754175665,0.018053798897356574,0.2030916239615539,0.04008231977347704,,,,0.6298373617743733,0.8118753530252014,3.2360431439115933
